dimension;identifier;desc_eng;details_eng;desc_swe;details_swe
Byggdelar;0;Compound building components and installation systems;;Sammansatta byggdelar och installationssystem;
Byggdelar;01;Dummy01;;Dummy01;
Byggdelar;01B;Compound building components for plant;;Sammansatta byggdelar för anläggning;
Byggdelar;01BB;Compound building components in road, plane and d;;Sammansatta byggdelar i väg, plan o d;
Byggdelar;01BC;Compound building components in track installations;;Sammansatta byggdelar i spåranläggning;
Byggdelar;01S;Compound building components;;Sammansatta byggdelar i hus;
Byggdelar;01SB;Compound building components, Internal walls, Compound;;Sammansatta byggdelar i hus, Innerväggar, sammansatta;
Byggdelar;01SC;Compound building components, external walls, Compound;;Sammansatta byggdelar i hus, Ytterväggar, sammansatta;
Byggdelar;01SF;Compound building components, Beams, Compound;;Sammansatta byggdelar i hus, Bjälklag, sammansatta;
Byggdelar;01SG;Compound building components, External ceilings and beams, Compound;;Sammansatta byggdelar i hus, Yttertak och ytterbjälklag, sammansatta;
Byggdelar;01SH;Compound building components, Stairs, Compound;;Sammansatta byggdelar i hus, Trappor, sammansatta;
Byggdelar;01SJ;Compound building components, Balconies, Compound;;Sammansatta byggdelar i hus, Balkonger, sammansatta;
Byggdelar;01SK;Compound building components, Loft conversions, Compound;;Sammansatta byggdelar i hus, Loftgångar, sammansatta;
Byggdelar;01SL;Compound building components, Loading docks, Compound;;Sammansatta byggdelar i hus, Lastkajer, sammansatta;
Byggdelar;01SZ;Other compound building components;;Övriga sammansatta byggdelar i hus;
Byggdelar;1;Compound building components;;Sammansatta byggdelar;
Byggdelar;11;SUBGRADE;;UNDERGRUND;
Byggdelar;11B;Unworked subgrade;;Obearbetad undergrund;
Byggdelar;11BB;Soil terrace, unworked;;Jordterrass, obearbetad;
Byggdelar;11BC;Mountain terrace, unworked;;Bergterrass, obearbetad;
Byggdelar;11C;Tilled underground;;Bearbetad undergrund;
Byggdelar;11CB;Soil terrace, cultivated;;Jordterrass, bearbetad;
Byggdelar;11CC;Mountain terrace, cultivated;;Bergterrass, bearbetad;
Byggdelar;11D;Terrace area;;Terrassyta;
Byggdelar;12;Substructure;;UNDERBYGGNAD;
Byggdelar;12B;Fillings;;Fyllningar;
Byggdelar;12BB;Fill for road, level, track, etc.;;Fyllning för väg, plan, spåranläggning m m;
Byggdelar;12BBB;Bank widening;;Bankbreddning;
Byggdelar;12BC;Filling for vegetation surface;;Fyllning för vegetationsyta;
Byggdelar;12BD;Filling for building, bridge, wall, jetty, quay, caisson, etc.;;Fyllning för byggnad, bro, mur, brygga, kaj, kassun m m;
Byggdelar;12BDB;Filling for the foundation of buildings;;Fyllning för grundläggning av byggnadsverk;
Byggdelar;12BDC;Filling for construction work (including bridge cones);;Fyllning mot byggnadsverk (Inklusive brokoner);
Byggdelar;12BE;Filling for pipeline;;Fyllning för ledning;
Byggdelar;12BZ;Miscellaneous filling;;Diverse fyllning;
Byggdelar;12BZB;Filling for bed under foundation;;Fyllning för bädd under fundament;
Byggdelar;12BZC;Pipeline bed;;Ledningsbädd;
Byggdelar;12BZD;Circular filling;;Kringfyllning;
Byggdelar;12BZE;Remaining filling;;Resterande fyllning;
Byggdelar;12C;Sealing and levelling layer;;Tätande och avjämnande lager;
Byggdelar;12CB;Sealing layer;;Tätande lager;
Byggdelar;12CC;Levelling layer;;Avjämnande lager;
Byggdelar;12E;Material separation layer;;Materialskiljande lager;
Byggdelar;12F;Gas and liquid sealing layers;;Gas- och vätsketätande lager;
Byggdelar;13;IN-GROUND LAYERS FOR THE PROTECTION OF STRUCTURES;;LAGER I MARK FÖR SKYDD AV BYGGNADSVERK;
Byggdelar;13B;Drainage and capillary-breaking layers;;Dränerande och kapillärbrytande lager;
Byggdelar;13C;Thermal insulation layers;;Termoisolerande lager;
Byggdelar;13D;Flow-preventing fillings;;Strömningsavskärande fyllningar;
