Curated Document;Sample Id;Document Id;Document title (sv);Document title (en);Req ID;Section titles (sv);Section titles (en);Requirement text (sv);Requirement text (en);Advice (sv);Advice (en);Span;SB11 table;SB11 code;SB11 en_name;SB11 sv_name;CoClass table;CoClass code;CoClass en_name;CoClass sv_name
./data/after_check_20220412/A_1st.tsv;1;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30506;5 Spårgeometriska krav# 5.3 Horisontalradie;5 Track geometry requirements# 5.3 Horizontal radius;Plattform får inte anordnas vid spår med radie mindre än 300 m.;Platforms may not be placed on tracks with a radius of less than 300 m.;;;Platforms;Landskapsinformation;JVGPLB;Platform;Plattform;DCAT;z;No Available Code;ingen tillgänglig kod
./data/after_check_20220412/A_1st.tsv;1;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30506;5 Spårgeometriska krav# 5.3 Horisontalradie;5 Track geometry requirements# 5.3 Horizontal radius;Plattform får inte anordnas vid spår med radie mindre än 300 m.;Platforms may not be placed on tracks with a radius of less than 300 m.;;;tracks;Byggdelar;33B;Tracks;Spår;Grundfunktioner-och-Komponenter;WRA;track;Räl
./data/after_check_20220412/A_1st.tsv;1;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30506;5 Spårgeometriska krav# 5.3 Horisontalradie;5 Track geometry requirements# 5.3 Horizontal radius;Plattform får inte anordnas vid spår med radie mindre än 300 m.;Platforms may not be placed on tracks with a radius of less than 300 m.;;;tracks with a radius of less than 300 m;Byggdelar;33BBC;Horizontal geometry;Horisontalgeometri;Grundfunktioner-och-Komponenter;ZBB;Railroad alignment;Spårgeometri
./data/after_check_20220412/A_1st.tsv;1;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30506;5 Spårgeometriska krav# 5.3 Horisontalradie;5 Track geometry requirements# 5.3 Horizontal radius;Plattform får inte anordnas vid spår med radie mindre än 300 m.;Platforms may not be placed on tracks with a radius of less than 300 m.;;;Platforms may not be placed on tracks with a radius of less than 300 m .;Byggdelar;33;TRACK FACILITIES;SPÅRANLÄGGNINGAR;Tillgångssystem;3R;Railway system;Spårsystem
./data/after_check_20220412/A_1st.tsv;4;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30622;7  Spåravstånd;7 Track distance;Spåravstånd ska vid nybyggnad och större upprustning vara minst 4,5 m, med undantag för spåravsnitt in mot spårväxel där spår löper samman.;Track spacing for new construction and major refurbishment shall be at least 4,5 m, except for track sections towards the interchange where tracks merge.;;;Track spacing;Byggdelar;33BB;Track and switch geometries;Spår- och växelgeometrier;Grundfunktioner-och-Komponenter;ZBB;Railroad alignment;Spårgeometri
./data/after_check_20220412/A_1st.tsv;4;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30622;7  Spåravstånd;7 Track distance;Spåravstånd ska vid nybyggnad och större upprustning vara minst 4,5 m, med undantag för spåravsnitt in mot spårväxel där spår löper samman.;Track spacing for new construction and major refurbishment shall be at least 4,5 m, except for track sections towards the interchange where tracks merge.;Rakspår alternativt stora radier eftersträvas på spår intill plattformar. Plattform bör inte placeras i kurva med horisontalradie mindre än 500 m.;Straight tracks or large radii are sought on tracks adjacent to platforms. Platforms should not be placed on curves with a horizontal radius of less than 500 m.;interchange where tracks merge;Byggdelar;33BB;Track and switch geometries;Spår- och växelgeometrier;Grundfunktioner-och-Komponenter#Grundfunktioner-och-Komponenter;QSB#ZBC;track switch#Rail switch geometry;Spårväxel#Spårväxelgeometri
./data/after_check_20220412/A_1st.tsv;4;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30622;7  Spåravstånd;7 Track distance;Spåravstånd ska vid nybyggnad och större upprustning vara minst 4,5 m, med undantag för spåravsnitt in mot spårväxel där spår löper samman.;Track spacing for new construction and major refurbishment shall be at least 4,5 m, except for track sections towards the interchange where tracks merge.;Rakspår alternativt stora radier eftersträvas på spår intill plattformar. Plattform bör inte placeras i kurva med horisontalradie mindre än 500 m.;Straight tracks or large radii are sought on tracks adjacent to platforms. Platforms should not be placed on curves with a horizontal radius of less than 500 m.;Track spacing for new construction and major refurbishment shall be at least 4,5 m , except for track sections towards the interchange where tracks merge .;Byggdelar;33;TRACK FACILITIES;SPÅRANLÄGGNINGAR;Tillgångssystem;3R;Railway system;Spårsystem
./data/after_check_20220412/A_1st.tsv;4;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30622;7  Spåravstånd;7 Track distance;Spåravstånd ska vid nybyggnad och större upprustning vara minst 4,5 m, med undantag för spåravsnitt in mot spårväxel där spår löper samman.;Track spacing for new construction and major refurbishment shall be at least 4,5 m, except for track sections towards the interchange where tracks merge.;Rakspår alternativt stora radier eftersträvas på spår intill plattformar. Plattform bör inte placeras i kurva med horisontalradie mindre än 500 m.;Straight tracks or large radii are sought on tracks adjacent to platforms. Platforms should not be placed on curves with a horizontal radius of less than 500 m.;tracks merge .;DCAT;z;No Available Code;ingen tillgänglig kod;Grundfunktioner-och-Komponenter;WRB;track crossing;Spårkors
./data/after_check_20220412/A_1st.tsv;6;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30662;8 Längdmätning# 8.3 Konnektering av längdmätning;8 Length measurement# 8.3 Connection of length measurement;Där anläggning av nya spår innebär en längdförändring ska den sista kilometertavlan placeras på ny sträckning, så att längdmätning överensstämmer med befintlig längdmätning vid anslutningen till befintliga spår, se figur K8.3.;Where the construction of new tracks involves a change in length, the last mileage board shall be placed on the new route, so that the length measurement is consistent with the existing length measurement at the connection to the existing tracks, see Figure K8.3.;;;tracks;Byggdelar;33B;Tracks;Spår;Grundfunktioner-och-Komponenter;WRA;track;Räl
./data/after_check_20220412/A_1st.tsv;6;TRVINFRA-00003;Ban- och stationsutformning / Spårgeometri;Track and station design / Track geometry;K30662;8 Längdmätning# 8.3 Konnektering av längdmätning;8 Length measurement# 8.3 Connection of length measurement;Där anläggning av nya spår innebär en längdförändring ska den sista kilometertavlan placeras på ny sträckning, så att längdmätning överensstämmer med befintlig längdmätning vid anslutningen till befintliga spår, se figur K8.3.;Where the construction of new tracks involves a change in length, the last mileage board shall be placed on the new route, so that the length measurement is consistent with the existing length measurement at the connection to the existing tracks, see Figure K8.3.;Normalt anordnas parallella spår med exakt spåravstånd på 4,5 m. Det finns framtagen standardlösning för växelförbindelse mellan parallella spår med 4,5 m spåravstånd.;Normally, parallel tracks are arranged with an exact track spacing of 4.5 m. There is a standard solution developed for the interconnection of parallel tracks with 4.5 m track spacing;mileage board;Landskapsinformation#Byggdelar;JVGJKM#84BBDC;Mileage board#Railway signalling panels;Kilometertavla#Signaltavlor vid järnväg;Grundfunktioner-och-Komponenter#Tillgångssystem#Konstruktiva-system;PHD#3TB#MEB;sign#Traffic signal system#Static sign system;Skylt#Trafiksignalsystem#Fast skyltsystem
